searched_name,institution_name,program,id,display_name,title,publication_date,publication_year,type,doi,cited_by_count,is_oa,oa_status
Bryson Sjodin,University of British Columbia,PhD,https://openalex.org/W4394789566,Putative climate adaptation in American pikas (Ochotona princeps) is associated with copy number variation across environmental gradients,Putative climate adaptation in American pikas (Ochotona princeps) is associated with copy number variation across environmental gradients,2024-04-13,2024,article,https://doi.org/10.1038/s41598-024-59157-6,3,TRUE,gold
Cameron Cosgrove,University of British Columbia,MSc,https://openalex.org/W4399824911,Using the full potential of Airborne Laser Scanning (aerial LiDAR) in wildlife research,Using the full potential of Airborne Laser Scanning (aerial LiDAR) in wildlife research,2024-06-18,2024,article,https://doi.org/10.1002/wsb.1532,6,TRUE,diamond
Cameron Cosgrove,University of British Columbia,MSc,https://openalex.org/W4392206871,"Modeling Marbled Murrelet nesting habitat: a quantitative approach using airborne laser scanning data in British Columbia, Canada","Modeling Marbled Murrelet nesting habitat: a quantitative approach using airborne laser scanning data in British Columbia, Canada",2024-01-01,2024,article,https://doi.org/10.5751/ace-02585-190105,2,TRUE,gold
Carly McGregor,University of British Columbia,MSc,https://openalex.org/W4409281509,Pollinators utilize both traditional and forb-supplemented set-aside fields in agriculture,Pollinators utilize both traditional and forb-supplemented set-aside fields in agriculture,2025-04-09,2025,article,https://doi.org/10.1016/j.agee.2025.109682,0,TRUE,hybrid
Caryn Cooper,University of British Columbia,MSc,https://openalex.org/W4313422484,Geographic and seasonal variation in δ13C values of C3 plant arabidopsis: Archaeological implications,Geographic and seasonal variation in δ13C values of C3 plant arabidopsis: Archaeological implications,2022-12-19,2022,article,https://doi.org/10.1016/j.jas.2022.105709,4,FALSE,closed
Chelsea Gowton,University of British Columbia,PhD,https://openalex.org/W3034154797,Peppermint essential oil inhibits Drosophila suzukii emergence but reduces Pachycrepoideus vindemmiae parasitism rates,Peppermint essential oil inhibits Drosophila suzukii emergence but reduces Pachycrepoideus vindemmiae parasitism rates,2020-06-04,2020,article,https://doi.org/10.1038/s41598-020-65189-5,18,TRUE,gold
Chelsea Gowton,University of British Columbia,PhD,https://openalex.org/W3208108869,Intercropping With Peppermint Increases Ground Dwelling Insect and Pollinator Abundance and Decreases Drosophila suzukii in Fruit,Intercropping With Peppermint Increases Ground Dwelling Insect and Pollinator Abundance and Decreases Drosophila suzukii in Fruit,2021-10-21,2021,article,https://doi.org/10.3389/fsufs.2021.700842,12,TRUE,gold
Chelsea Gowton,University of British Columbia,PhD,https://openalex.org/W4404412539,Positive association between foliar silicon and extrafloral nectar in Vicia faba with application of methyl jasmonate,Positive association between foliar silicon and extrafloral nectar in Vicia faba with application of methyl jasmonate,2024-11-15,2024,article,https://doi.org/10.1016/j.baae.2024.11.005,0,TRUE,gold
Cheng Chen,University of British Columbia,PhD,https://openalex.org/W4210622999,Global camera trap synthesis highlights the importance of protected areas in maintaining mammal diversity,Global camera trap synthesis highlights the importance of protected areas in maintaining mammal diversity,2022-01-26,2022,article,https://doi.org/10.1111/conl.12865,71,TRUE,gold
Cheng Chen,University of British Columbia,PhD,https://openalex.org/W4388499228,Combining camera trap surveys and IUCN range maps to improve knowledge of species distributions,Combining camera trap surveys and IUCN range maps to improve knowledge of species distributions,2023-11-08,2023,article,https://doi.org/10.1111/cobi.14221,9,TRUE,hybrid
